Month,Day ,Hour,AmbTemp (K),SolarAz(Deg),ZenithAng(Deg),GHZ,NIP,Airmass,,Production/W,Power
1,1,1,278.05,-140.89,165.35,0,0,0,,0,0
1,1,2,277.45,-111.76,155.27,0,0,0,,0,0
1,1,3,276.95,-97.84,143.37,0,0,0,,0,0
1,1,4,276.35,-88.5,131.09,0,0,0,,0,0
1,1,5,276.35,-80.71,118.85,0,0,0,,0,0
1,1,6,276.95,-73.28,106.87,0,0,0,,0,0
1,1,7,276.35,-65.53,95.36,0,0,0,,0,0
1,1,8,278.55,-56.92,84.57,60,122,3.941589819,,0,0
1,1,9,280.25,-46.94,74.88,218,386,2.888662347,,0.37321523,93.30380756
1,1,10,285.85,-35.1,66.79,260,145,2.279420285,,0.344367771,86.09194286
1,1,11,286.95,-21.16,60.97,469,610,1.956674926,,0.701125295,175.2813239
1,1,12,288.55,-5.49,58.12,307,204,1.826875044,,0.413779328,103.444832
1,1,13,290.25,10.71,58.68,545,725,1.851072725,,0.793412422,198.3531055
1,1,14,291.35,25.91,62.56,371,368,2.036690011,,0.525876082,131.4690206
1,1,15,291.35,39.18,69.19,256,263,2.438646917,,0.36763972,91.90993003
1,1,16,291.35,50.38,77.87,202,441,3.171566644,,0,0
1,1,17,290.25,59.87,87.96,8,127,4.411794357,,0,0
1,1,18,289.15,68.14,99.01,0,0,0,,0,0
1,1,19,288.55,75.74,110.7,0,0,0,,0,0
1,1,20,286.95,83.21,122.79,0,0,0,,0,0
1,1,21,285.25,91.35,135.07,0,0,0,,0,0
1,1,22,286.35,101.7,147.28,0,0,0,,0,0
1,1,23,285.85,118.71,158.85,0,0,0,,0,0
1,1,24,284.15,158.02,167.33,0,0,0,,0,0
1,2,1,283.55,-141.39,165.34,0,0,0,,0,0
1,2,2,282.45,-112.04,155.31,0,0,0,,0,0
1,2,3,282.45,-98.04,143.42,0,0,0,,0,0
1,2,4,282.45,-88.65,131.15,0,0,0,,0,0
1,2,5,281.95,-80.84,118.91,0,0,0,,0,0
1,2,6,283.05,-73.4,106.92,0,0,0,,0,0
1,2,7,283.05,-65.65,95.4,0,0,0,,0,0
1,2,8,283.05,-57.05,84.6,16,0,3.94550021,,0,0
1,2,9,285.85,-47.07,74.89,276,600,2.889551852,,0.479550492,119.887623
1,2,10,286.95,-35.24,66.78,317,307,2.27879119,,0.461214739,115.3036846
1,2,11,290.85,-21.3,60.93,530,846,1.954734926,,0.79854303,199.6357576
1,2,12,291.95,-5.61,58.05,577,930,1.823893431,,0.858040376,214.5100939
1,2,13,293.05,10.6,58.59,551,877,1.847142153,,0.816533406,204.1333516
1,2,14,293.05,25.84,62.45,503,941,2.030968355,,0.779361001,194.8402503
1,2,15,293.55,39.14,69.07,378,888,2.430284309,,0.633275759,158.3189396
1,2,16,293.05,50.36,77.74,214,752,3.158538235,,0,0
1,2,17,291.35,59.86,87.83,9,225,4.392683311,,0,0
1,2,18,290.85,68.15,98.89,0,0,0,,0,0
1,2,19,289.75,75.76,110.58,0,0,0,,0,0
1,2,20,289.15,83.24,122.66,0,0,0,,0,0
1,2,21,288.05,91.38,134.94,0,0,0,,0,0
1,2,22,286.95,101.74,147.15,0,0,0,,0,0
1,2,23,287.45,118.7,158.72,0,0,0,,0,0
1,2,24,286.95,157.7,167.22,0,0,0,,0,0
1,3,1,286.35,-141.9,165.33,0,0,0,,0,0
1,3,2,285.25,-112.34,155.35,0,0,0,,0,0
1,3,3,288.55,-98.24,143.47,0,0,0,,0,0
1,3,4,287.45,-88.81,131.2,0,0,0,,0,0
1,3,5,285.85,-80.98,118.96,0,0,0,,0,0
1,3,6,285.85,-73.53,106.97,0,0,0,,0,0
1,3,7,285.25,-65.78,95.43,0,0,0,,0,0
1,3,8,287.45,-57.18,84.62,82,369,3.948109561,,0,0
1,3,9,287.45,-47.21,74.89,223,451,2.889551852,,0.379411056,94.85276398
1,3,10,290.25,-35.38,66.76,368,509,2.27753383,,0.555901712,138.975428
1,3,11,290.85,-21.44,60.89,344,207,1.952798424,,0.455798147,113.9495367
1,3,12,290.85,-5.74,57.98,535,648,1.820921299,,0.763908795,190.9771987
1,3,13,290.85,10.5,58.49,513,712,1.842793662,,0.753409229,188.3523073
1,3,14,290.85,25.77,62.33,475,860,2.024758674,,0.742490166,185.6225415
